tag,env,policy,seed,n,success_rate,wilson_low,wilson_high,goal_offset,budget,cem_steps,horizon,receding,samples,history,seconds
base3000_eval_s42,tworoom,/root/autodl-tmp/lewm_research/data/checkpoints/r12_tw_s3072/weights_step_3000.pt,42,50,20.0,11.243629945973886,33.03737210448524,25,50,10,5,5,300,1,38.278785705566406
base3000_eval_s43,tworoom,/root/autodl-tmp/lewm_research/data/checkpoints/r12_tw_s3072/weights_step_3000.pt,43,50,26.0,15.871379651367384,39.55342198899992,25,50,10,5,5,300,1,38.50231456756592
base3000_eval_s44,tworoom,/root/autodl-tmp/lewm_research/data/checkpoints/r12_tw_s3072/weights_step_3000.pt,44,50,14.000000000000002,6.950745262022862,26.18645719852809,25,50,10,5,5,300,1,36.213335037231445
focus_noop_long_s42,tworoom,random,42,50,0.0,0.0,7.135003417431873,75,150,10,5,5,300,,38.529391288757324
focus_noop_long_s43,tworoom,random,43,50,0.0,0.0,7.135003417431873,75,150,10,5,5,300,,38.46457767486572
focus_noop_long_s44,tworoom,random,44,50,0.0,0.0,7.135003417431873,75,150,10,5,5,300,,38.63386058807373
focus_noop_short_s42,tworoom,random,42,50,4.0,1.1038652660826578,13.460337877954668,25,50,10,5,5,300,,16.670948266983032
focus_noop_short_s43,tworoom,random,43,50,4.0,1.1038652660826578,13.460337877954668,25,50,10,5,5,300,,17.848414659500122
focus_noop_short_s44,tworoom,random,44,50,6.0,2.0614596364630478,16.217343370877003,25,50,10,5,5,300,,16.499116897583008
focus_public_long_cem30_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,36.0,24.138562967182875,49.859237989698045,75,150,30,5,5,300,3,127.91838312149048
focus_public_long_cem30_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,36.0,24.138562967182875,49.859237989698045,75,150,30,5,5,300,3,120.55193519592285
focus_public_long_cem30_s44,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,44,50,40.0,27.608189786245752,53.81881089724063,75,150,30,5,5,300,3,124.48999691009521
focus_public_long_h10_n150_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,40.0,27.608189786245752,53.81881089724063,75,150,10,10,5,150,3,96.84725260734558
focus_public_long_h10_n150_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,40.0,27.608189786245752,53.81881089724063,75,150,10,10,5,150,3,105.21663093566895
focus_public_long_h10_n150_s44,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,44,50,44.0,31.161987210235342,57.69421319985648,75,150,10,10,5,150,3,104.64311408996582
focus_public_long_replan1_iter10_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,38.0,25.862595842577218,51.849804977606425,75,150,10,5,1,300,3,172.98346853256226
focus_public_long_replan1_iter10_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,30.0,19.10338908960936,43.75061227736339,75,150,10,5,1,300,3,192.12293338775635
focus_public_long_replan1_iter10_s44,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,44,50,40.0,27.608189786245752,53.81881089724063,75,150,10,5,1,300,3,175.19099879264832
focus_public_long_replan1_iter2_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,36.0,24.138562967182875,49.859237989698045,75,150,2,5,1,300,3,76.69101762771606
focus_public_long_replan1_iter2_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,32.0,20.758044093999402,45.810557136276074,75,150,2,5,1,300,3,83.41867733001709
focus_public_long_replan1_iter2_s44,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,44,50,38.0,25.862595842577218,51.849804977606425,75,150,2,5,1,300,3,80.67449688911438
focus_public_long_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,36.0,24.138562967182875,49.859237989698045,75,150,10,5,5,300,3,69.48662543296814
focus_public_long_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,32.0,20.758044093999402,45.810557136276074,75,150,10,5,5,300,3,74.01321172714233
focus_public_long_s44,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,44,50,40.0,27.608189786245752,53.81881089724063,75,150,10,5,5,300,3,71.4132730960846
focus_public_short150_s42,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,42,50,82.0,69.20368054529739,90.2299172675462,25,150,10,5,5,300,3,42.97571778297424
focus_public_short150_s43,tworoom,/root/autodl-tmp/lewm_research/data/hf_tworoom,43,50,78.0,64.75818431054044,87.24621377569771,25,150,10,5,5,300,3,51.99797034263611
