domain,method,mean_sr_percent,sample_sd_percent,seed3072_sr,seed3073_sr,seed3074_sr
known_layout,base,60.888888888888886,2.036700308869265,62.66666666666667,61.33333333333333,58.666666666666664
known_layout,h10_warm,50.444444444444436,2.2194427061597954,48.0,52.33333333333333,51.0
known_layout,temporal,98.8888888888889,1.0715167512214374,97.66666666666667,99.66666666666667,99.33333333333333
known_layout,retrieval_only,97.33333333333333,0.8819171036881924,97.0,96.66666666666667,98.33333333333333
known_layout,retrieval_rerank,98.66666666666667,0.0,98.66666666666667,98.66666666666667,98.66666666666667
final_geometry_axis1_door73,base,24.666666666666668,2.081665999466133,27.0,23.0,24.0
final_geometry_axis1_door73,h10_warm,27.666666666666668,2.3094010767585007,25.0,28.999999999999996,28.999999999999996
final_geometry_axis1_door73,temporal,91.33333333333333,2.5166114784235836,91.0,89.0,94.0
final_geometry_axis1_door73,retrieval_only,80.66666666666667,4.932882862316247,84.0,83.0,75.0
final_geometry_axis1_door73,retrieval_rerank,85.0,2.6457513110645907,87.0,86.0,82.0
final_geometry_axis1_door169,base,15.666666666666666,1.5275252316519456,14.000000000000002,17.0,16.0
final_geometry_axis1_door169,h10_warm,21.0,0.0,21.0,21.0,21.0
final_geometry_axis1_door169,temporal,51.0,1.0,51.0,52.0,50.0
final_geometry_axis1_door169,retrieval_only,47.666666666666664,1.5275252316519465,46.0,49.0,48.0
final_geometry_axis1_door169,retrieval_rerank,46.666666666666664,0.5773502691896258,47.0,46.0,47.0
final_geometry_axis0_door73,base,9.0,1.7320508075688767,10.0,10.0,7.000000000000001
final_geometry_axis0_door73,h10_warm,10.0,3.6055512754639896,9.0,14.000000000000002,7.000000000000001
final_geometry_axis0_door73,temporal,10.666666666666666,4.04145188432738,10.0,7.000000000000001,15.0
final_geometry_axis0_door73,retrieval_only,9.0,1.9999999999999996,9.0,11.0,7.000000000000001
final_geometry_axis0_door73,retrieval_rerank,13.333333333333334,1.1547005383792526,12.0,14.000000000000002,14.000000000000002
final_geometry_axis0_door169,base,8.0,2.0,10.0,6.0,8.0
final_geometry_axis0_door169,h10_warm,11.0,3.9999999999999996,11.0,15.0,7.000000000000001
final_geometry_axis0_door169,temporal,9.0,3.605551275463989,12.0,5.0,10.0
final_geometry_axis0_door169,retrieval_only,8.0,1.7320508075688772,9.0,9.0,6.0
final_geometry_axis0_door169,retrieval_rerank,12.666666666666666,2.516611478423583,10.0,15.0,13.0
