run,n,successes,success_rate,wilson95,elapsed_seconds,goal_offset_steps,mean_initial_distance,initially_within_radius_n,opposite_wall_sides_n,opposite_wall_sides_successes,outside_initial_radius_n,outside_initial_radius_successes
pilot500_default_s42,50,22,44.0,"[31.161987210235342, 57.69421319985648]",63.442168951034546,25,39.832332611083984,4,12,5,46,18
pretrained_default_s42,50,43,86.0,"[73.8135428014719, 93.04925473797714]",40.71316957473755,25,39.832332611083984,4,12,10,46,39
pretrained_default_s43,50,41,82.0,"[69.20368054529739, 90.2299172675462]",42.927091121673584,25,42.74276351928711,6,18,15,44,35
pretrained_default_s44,50,44,88.0,"[76.19492111337642, 94.38247628937535]",40.17847204208374,25,41.6052360534668,3,10,8,47,41
pretrained_long75_s42,50,17,34.0,"[22.43676963506106, 47.846431458517145]",122.08953905105591,75,94.44036865234375,0,36,13,50,17
pretrained_smoke,4,4,100.0,"[51.009997959600085, 100.0]",1.6433353424072266,25,32.53572082519531,1,1,1,3,3
random_default_s42,50,13,26.0,"[15.871379651367384, 39.55342198899992]",17.098501920700073,25,39.832332611083984,4,12,1,46,9
random_default_s43,50,15,30.0,"[19.10338908960936, 43.75061227736339]",16.124237060546875,25,42.74276351928711,6,18,2,44,9
random_default_s44,50,14,28.000000000000004,"[17.47401435768036, 41.66538714598967]",15.76224684715271,25,41.6052360534668,3,10,1,47,11
random_long75_s42,50,2,4.0,"[1.1038652660826578, 13.460337877954668]",35.19745373725891,75,94.44036865234375,0,36,0,50,2
random_seeded_default_s42,50,16,32.0,"[20.758044093999402, 45.810557136276074]",16.35568118095398,25,39.832332611083984,4,12,3,46,12
random_seeded_default_s43,50,13,26.0,"[15.871379651367384, 39.55342198899992]",16.01679015159607,25,42.74276351928711,6,18,2,44,7
random_seeded_default_s44,50,14,28.000000000000004,"[17.47401435768036, 41.66538714598967]",18.5821316242218,25,41.6052360534668,3,10,1,47,11
